2022-07-12 13:36:24,192 - 28176:11472 - [INFO][InitData] Already has init value
2022-07-12 13:36:24,192 - 28176:11472 - [INFO][InitData] Already has init value
2022-07-12 13:36:24,193 - 28176:12496 - [INFO][InitData] Already has init value
2022-07-12 13:36:24,193 - 28176:12496 - [INFO][InitData] Already has init value
2022-07-12 13:39:24,282 - 28176:4084 - [INFO][Request] {'method': 'PUT', 'path': '/api/device/eojs/027902/epcs/E0', 'params': {'edt': '0224'}, 'result': 0, 'code': 200, 'data': {'changed': {'E0': '0224'}}}
2022-07-12 13:39:24,282 - 28176:4084 - [INFO][Request] {'method': 'PUT', 'path': '/api/device/eojs/027902/epcs/E0', 'params': {'edt': '0224'}, 'result': 0, 'code': 200, 'data': {'changed': {'E0': '0224'}}}
2022-07-12 13:39:24,281 - 28176:29456 - [INFO][Request] {'method': 'PUT', 'path': '/api/device/eojs/027901/epcs/E0', 'params': {'edt': '0489'}, 'result': 0, 'code': 200, 'data': {'changed': {'E0': '0489'}}}
2022-07-12 13:39:24,281 - 28176:29456 - [INFO][Request] {'method': 'PUT', 'path': '/api/device/eojs/027901/epcs/E0', 'params': {'edt': '0489'}, 'result': 0, 'code': 200, 'data': {'changed': {'E0': '0489'}}}
2022-07-12 13:39:24,282 - 28176:4084 - [INFO][Request] {'method': 'PUT', 'path': '/api/device/eojs/027902/epcs/E0', 'params': {'edt': '0224'}, 'result': 0, 'code': 200, 'data': {'changed': {'E0': '0224'}}}
2022-07-12 13:39:24,282 - 28176:4084 - [INFO][Request] {'method': 'PUT', 'path': '/api/device/eojs/027902/epcs/E0', 'params': {'edt': '0224'}, 'result': 0, 'code': 200, 'data': {'changed': {'E0': '0224'}}}
2022-07-12 13:39:24,281 - 28176:29456 - [INFO][Request] {'method': 'PUT', 'path': '/api/device/eojs/027901/epcs/E0', 'params': {'edt': '0489'}, 'result': 0, 'code': 200, 'data': {'changed': {'E0': '0489'}}}
2022-07-12 13:39:24,281 - 28176:29456 - [INFO][Request] {'method': 'PUT', 'path': '/api/device/eojs/027901/epcs/E0', 'params': {'edt': '0489'}, 'result': 0, 'code': 200, 'data': {'changed': {'E0': '0489'}}}
2022-07-12 13:39:24,282 - 28176:4084 - [INFO][Request] {'method': 'PUT', 'path': '/api/device/eojs/027902/epcs/E0', 'params': {'edt': '0224'}, 'result': 0, 'code': 200, 'data': {'changed': {'E0': '0224'}}}
2022-07-12 13:39:24,282 - 28176:4084 - [INFO][Request] {'method': 'PUT', 'path': '/api/device/eojs/027902/epcs/E0', 'params': {'edt': '0224'}, 'result': 0, 'code': 200, 'data': {'changed': {'E0': '0224'}}}
2022-07-12 13:40:24,296 - 28176:29456 - [INFO][Request] {'method': 'PUT', 'path': '/api/device/eojs/027901/epcs/E0', 'params': {'edt': '0738'}, 'result': 0, 'code': 200, 'data': {'changed': {'E0': '0738'}}}
2022-07-12 13:40:24,296 - 28176:29456 - [INFO][Request] {'method': 'PUT', 'path': '/api/device/eojs/027901/epcs/E0', 'params': {'edt': '0738'}, 'result': 0, 'code': 200, 'data': {'changed': {'E0': '0738'}}}
2022-07-12 13:40:24,296 - 28176:4084 - [INFO][Request] {'method': 'PUT', 'path': '/api/device/eojs/027902/epcs/E0', 'params': {'edt': '0038'}, 'result': 0, 'code': 200, 'data': {'changed': {'E0': '0038'}}}
2022-07-12 13:40:24,296 - 28176:4084 - [INFO][Request] {'method': 'PUT', 'path': '/api/device/eojs/027902/epcs/E0', 'params': {'edt': '0038'}, 'result': 0, 'code': 200, 'data': {'changed': {'E0': '0038'}}}
2022-07-12 13:40:24,296 - 28176:29456 - [INFO][Request] {'method': 'PUT', 'path': '/api/device/eojs/027901/epcs/E0', 'params': {'edt': '0738'}, 'result': 0, 'code': 200, 'data': {'changed': {'E0': '0738'}}}
2022-07-12 13:40:24,296 - 28176:29456 - [INFO][Request] {'method': 'PUT', 'path': '/api/device/eojs/027901/epcs/E0', 'params': {'edt': '0738'}, 'result': 0, 'code': 200, 'data': {'changed': {'E0': '0738'}}}
2022-07-12 13:40:24,296 - 28176:4084 - [INFO][Request] {'method': 'PUT', 'path': '/api/device/eojs/027902/epcs/E0', 'params': {'edt': '0038'}, 'result': 0, 'code': 200, 'data': {'changed': {'E0': '0038'}}}
